species_id	species_alt_id	species_name	representative_genome	gtdb_taxonomy	operational_taxonomy	count_hgm	count_ref	gut_species	new_species	cultured_species	high_quality	signalp_type
OTU-13178	276735	Pseudoflavonifractor HGM13178	SRS049402_32	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor	d__Bacteria;p__18;c__124;o__750;f__1481;g__6159;s__13178	1	0	Yes	Yes	No	Yes	gram-positive
OTU-23554	214139	Opitutales sp.	SRS475979_76	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__	d__Bacteria;p__20;c__093;o__528;f__1006;g__3750;s__23554	4	1	Yes	No	No	Yes	gram-negative
OTU-10093	254630	Lactobacillus amylovorus	891391.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	d__Bacteria;p__01;c__014;o__054;f__0106;g__0446;s__10093	13	15	Yes	No	Yes	Yes	gram-positive
OTU-04167	260475	Collinsella HGM04167	SRS259520_46	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04167	3	0	Yes	Yes	No	Yes	gram-positive
OTU-08832	254254	Elusimicrobiaceae HGM08832	SRS475936_28	d__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae	d__Bacteria;p__08;c__085;o__488;f__0944;g__3545;s__08832	16	0	Yes	Yes	No	Yes	gram-negative
OTU-01667	272074	Actinomyces HGM01667	ERS473172_1	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces_B	d__Bacteria;p__23;c__114;o__654;f__1270;g__5244;s__01667	1	0	Yes	Yes	No	Yes	gram-positive
OTU-10854	258573	RF39 HGM10854	ERS608551_54	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877	d__Bacteria;p__01;c__014;o__047;f__0087;g__0356;s__10854	4	0	Yes	Yes	No	Yes	gram-positive
OTU-12699	219818	Oscillospirales sp.	1262894.3	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-724;s__	d__Bacteria;p__18;c__124;o__755;f__1502;g__6413;s__12699	11	1	Yes	No	No	Yes	gram-positive
OTU-10042	242807	Enterococcus durans	2639762992	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B durans	d__Bacteria;p__01;c__014;o__053;f__0109;g__0503;s__10042	9	14	Yes	No	Yes	Yes	gram-positive
OTU-12179	258827	Lachnospiraceae sp.	SRS294931_23	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__	d__Bacteria;p__18;c__124;o__762;f__1517;g__6478;s__12179	21	1	Yes	No	No	Yes	gram-positive
OTU-12883	259114	DTU089 HGM12883	SRS475968_100	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-488	d__Bacteria;p__18;c__124;o__751;f__1489;g__6223;s__12883	14	0	Yes	Yes	No	Yes	gram-positive
OTU-04373	259650	Senegalimassilia HGM04373	ERS608527_36	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia	d__Bacteria;p__23;c__115;o__659;f__1277;g__5369;s__04373	27	0	Yes	Yes	No	Yes	gram-positive
OTU-04311	262326	Collinsella aerofaciens	ERS608521_50	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04311	166	3	Yes	No	Yes	Yes	gram-positive
OTU-13117	249452	D16 sp.	1650661.3	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__D16;s__	d__Bacteria;p__18;c__124;o__750;f__1481;g__6160;s__13117	12	1	Yes	No	Yes	Yes	gram-positive
OTU-19485	246316	Sutterella HGM19485	SRS1719274_10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella	d__Bacteria;p__08;c__064;o__329;f__0616;g__1860;s__19485	19	0	Yes	Yes	No	Yes	gram-negative
OTU-11960	260105	Agathobacter sp.	ERS396406_17	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	d__Bacteria;p__18;c__124;o__762;f__1517;g__6616;s__11960	1320	16	Yes	No	Yes	Yes	gram-positive
OTU-01769	252259	Bifidobacterium sp.	518635.17	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum	d__Bacteria;p__23;c__114;o__653;f__1260;g__5068;s__01769	22	8	Yes	No	Yes	Yes	gram-positive
OTU-12401	261659	Lachnospira sp.	ERS235560_81	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens	d__Bacteria;p__18;c__124;o__762;f__1517;g__6491;s__12401	511	8	Yes	No	Yes	Yes	gram-positive
OTU-04168	276827	Collinsella HGM04168	ERS235526_30	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04168	1	0	Yes	Yes	No	Yes	gram-positive
OTU-13300	259348	Faecalibacterium sp.	ERS631827_61	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	d__Bacteria;p__18;c__124;o__753;f__1494;g__6284;s__13300	11	1	Yes	No	Yes	Yes	gram-positive
OTU-09797	260199	Catenibacterium sp.	SRS475568_54	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium	d__Bacteria;p__01;c__014;o__045;f__0076;g__0259;s__09797	145	1	Yes	No	No	Yes	gram-positive
OTU-11611	258790	UBA11524 sp.	ERS608495_69	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp1	d__Bacteria;p__18;c__124;o__747;f__1467;g__6074;s__11611	423	2	Yes	No	No	Yes	gram-positive
OTU-01784	256244	Bifidobacterium sp.	871562.3	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium	d__Bacteria;p__23;c__114;o__653;f__1260;g__5068;s__01784	24	10	Yes	No	Yes	Yes	gram-positive
OTU-20795	262108	Haemophilus parainfluenzae	ERS537263_24	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D	d__Bacteria;p__08;c__064;o__363;f__0707;g__2432;s__20795	16	1	Yes	No	Yes	Yes	gram-negative
OTU-10997	258442	Staphylococcus capitis	72758.6	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	d__Bacteria;p__01;c__014;o__052;f__0103;g__0424;s__10997	3	53	Yes	No	Yes	Yes	gram-positive
